,Close,High,Low,Open,Date,Volume
317,92.785,92.785,92.785,92.785,2022-07-20,1
318,93.3161,93.3161,93.3161,93.3161,2022-07-21,37
319,93.7811,93.7811,93.7811,93.7811,2022-07-22,76
320,93.65,93.65,93.65,93.65,2022-07-25,3
321,93.5988,93.7799,93.5988,93.7799,2022-07-26,482
322,93.91,93.91,93.77,93.77,2022-07-27,103
323,94.335,94.36,94.335,94.36,2022-07-28,402
324,94.415,94.415,94.39,94.39,2022-07-29,371
325,94.495,94.53,94.495,94.53,2022-08-01,365
326,93.845,94.225,93.8,94.225,2022-08-02,10729
327,93.9832,93.9832,93.65,93.65,2022-08-03,376
328,94.1843,94.1843,94.05,94.05,2022-08-04,9768
329,93.5948,93.5948,93.5948,93.5948,2022-08-05,1
330,93.775,93.775,93.775,93.775,2022-08-08,24
331,93.6116,93.6116,93.5616,93.5616,2022-08-09,403
332,93.895,93.9,93.895,93.9,2022-08-10,236
333,93.5561,93.5561,93.5561,93.5561,2022-08-11,18
334,93.713,93.713,93.713,93.713,2022-08-12,7
335,93.8743,93.9599,93.8743,93.9599,2022-08-15,157
336,93.7423,93.7423,93.7423,93.7423,2022-08-16,3
337,93.427,93.427,93.427,93.427,2022-08-17,2
338,93.5251,93.55,93.525,93.55,2022-08-18,6692
339,93.3,93.3,93.3,93.3,2022-08-19,1
340,93.055,93.1001,93.055,93.1001,2022-08-22,348
341,93.0072,93.045,93.0072,93.045,2022-08-23,4602
342,92.8584,92.8584,92.83,92.84,2022-08-24,1259
343,93.1124,93.1124,93.1124,93.1124,2022-08-25,1
344,93.005,93.02,93.005,93.02,2022-08-26,226
345,92.74,92.7593,92.74,92.7593,2022-08-29,799
346,92.6966,92.6966,92.6966,92.6966,2022-08-30,3
347,92.665,92.72,92.665,92.7,2022-08-31,2715
348,92.284,92.3,92.284,92.285,2022-09-01,756
349,92.5701,92.5701,92.525,92.57,2022-09-02,2001
350,92.1174,92.1174,92.1174,92.1174,2022-09-06,19
351,92.4142,92.4142,92.31,92.31,2022-09-07,293
352,92.2743,92.2743,92.2743,92.2743,2022-09-08,4
353,92.2212,92.2212,92.2212,92.2212,2022-09-09,58
354,92.1733,92.1733,92.1733,92.1733,2022-09-12,36
355,91.7588,91.7588,91.7,91.71,2022-09-13,2403
356,91.7284,91.79,91.65,91.651,2022-09-14,1854
357,91.545,91.585,91.545,91.585,2022-09-15,127
358,91.645,91.645,91.645,91.645,2022-09-16,4
